run,section,group,full_edge_acc,context_edge_acc,changed_edge_acc,add,delete,proposal_node_scope_recall,proposal_edge_scope_recall,proposal_edge_scope_excess_ratio,proposal_out_of_scope_miss_edge
baseline_noisy_p2_rft1,by_event_type_all_steps,motif_type_flip,0.8803381320352599,0.8803381320352599,,,,0.9823034522773426,0.8520452567449956,0.8763966921280222,
baseline_noisy_p2_rft1,by_event_type_all_steps,node_state_update,0.8792992998331808,0.8792992998331808,,,,0.9655682298267849,0.8087381607088299,0.8512169074251026,
baseline_noisy_p2_i1520_optional,overall_final,overall,0.8360804473304473,0.8409764607820163,0.3713646532438479,0.1090146750524109,0.6714628297362111,0.972546476437527,0.7094833687190375,0.9132522822653918,0.5480984340044743
baseline_noisy_p2_i1520_optional,by_dependency_bucket_final,fully_independent,0.8384829244829245,0.8445100393433727,0.41371158392434987,0.08717948717948718,0.6929824561403509,0.9545098039215686,0.5896296296296296,0.9496775825009482,0.5319148936170213
baseline_noisy_p2_i1520_optional,by_dependency_bucket_final,partially_dependent,0.8319771524771525,0.8370242226908893,0.4269005847953216,0.16049382716049382,0.6666666666666666,0.9804713804713805,0.7084745762711865,0.9196565863659661,0.45321637426900585
baseline_noisy_p2_i1520_optional,by_dependency_bucket_final,strongly_interacting,0.837781265031265,0.841395120311787,0.08527131782945736,0.075,0.2222222222222222,0.9785637727759914,0.7740916271721959,0.8675675675675676,0.8527131782945736
baseline_noisy_p2_i1520_optional,by_corruption_setting_final,N1,0.8549729437229437,0.8600101750101751,0.3825503355704698,0.09433962264150944,0.7122302158273381,0.9766536964980544,0.7314225053078556,0.9076902465166131,0.5369127516778524
baseline_noisy_p2_i1520_optional,by_corruption_setting_final,N2,0.835016354016354,0.8398521941021941,0.37583892617449666,0.11320754716981132,0.6762589928057554,0.9734111543450065,0.721868365180467,0.9125739264592441,0.5067114093959731
baseline_noisy_p2_i1520_optional,by_corruption_setting_final,N3,0.8182520442520442,0.8230670132336799,0.35570469798657717,0.11949685534591195,0.6258992805755396,0.9675745784695201,0.6751592356687898,0.9191970524710964,0.6006711409395973
baseline_noisy_p2_i1520_optional,by_event_type_all_steps,edge_add,0.8124446748396328,0.8284659007348083,0.1015406162464986,0.1015406162464986,,0.9656862745098039,0.14565826330532214,0.9892104990144206,0.8543417366946778
baseline_noisy_p2_i1520_optional,by_event_type_all_steps,edge_delete,0.8440149343233043,0.847560733170131,0.6791483113069016,,0.6791483113069016,0.9761380323054332,0.8076358296622613,0.9359235742995282,0.19236417033773867
baseline_noisy_p2_i1520_optional,by_event_type_all_steps,motif_type_flip,0.8353884487043756,0.8353884487043756,,,,0.9823034522773426,0.8520452567449956,0.8763966921280222,
baseline_noisy_p2_i1520_optional,by_event_type_all_steps,node_state_update,0.8415992821536968,0.8415992821536968,,,,0.9655682298267849,0.8087381607088299,0.8512169074251026,
step23_noisy_interaction_p2_rft1,overall_final,overall,0.8813185024851691,0.8881898924121147,0.2348993288590604,0.07966457023060797,0.41247002398081534,0.9628188499783831,0.6652512384996462,0.9086447349239516,0.5950782997762863
step23_noisy_interaction_p2_rft1,by_dependency_bucket_final,fully_independent,0.882982202982203,0.8922550566717234,0.24113475177304963,0.046153846153846156,0.40789473684210525,0.9341176470588235,0.5481481481481482,0.9472483604220131,0.5768321513002364
step23_noisy_interaction_p2_rft1,by_dependency_bucket_final,partially_dependent,0.8789424001924002,0.8865007122507123,0.2807017543859649,0.1111111111111111,0.43333333333333335,0.9764309764309764,0.6610169491525424,0.9153645833333334,0.52046783625731
step23_noisy_interaction_p2_rft1,by_dependency_bucket_final,strongly_interacting,0.8820309042809044,0.8858139083139084,0.09302325581395349,0.09166666666666666,0.1111111111111111,0.9715969989281886,0.7306477093206951,0.8609649782053209,0.8527131782945736
step23_noisy_interaction_p2_rft1,by_corruption_setting_final,N1,0.9062864357864359,0.913563159063159,0.22818791946308725,0.06918238993710692,0.41007194244604317,0.9727626459143969,0.6985138004246284,0.9017910447761194,0.5805369127516778
step23_noisy_interaction_p2_rft1,by_corruption_setting_final,N2,0.8807246272246272,0.8877827357827357,0.21476510067114093,0.07547169811320754,0.37410071942446044,0.9617380025940337,0.6698513800424628,0.9087754806997254,0.5704697986577181
step23_noisy_interaction_p2_rft1,by_corruption_setting_final,N3,0.8569444444444444,0.8632237823904492,0.26174496644295303,0.09433962264150944,0.45323741007194246,0.9539559014267186,0.6273885350318471,0.9151106004021833,0.6342281879194631
step23_noisy_interaction_p2_rft1,by_event_type_all_steps,edge_add,0.8656440859171951,0.8827236268762879,0.09873949579831932,0.09873949579831932,,0.9516806722689075,0.11764705882352941,0.9901269393511989,0.8823529411764706
step23_noisy_interaction_p2_rft1,by_event_type_all_steps,edge_delete,0.8801992020053695,0.8902647306465221,0.42290748898678415,,0.42290748898678415,0.9662261380323054,0.7723935389133627,0.9318608718181229,0.2276064610866373
step23_noisy_interaction_p2_rft1,by_event_type_all_steps,motif_type_flip,0.8860362923026108,0.8860362923026108,,,,0.9767914128227444,0.8037423846823325,0.8684660304799886,
step23_noisy_interaction_p2_rft1,by_event_type_all_steps,node_state_update,0.88379339498436,0.88379339498436,,,,0.9552175749894382,0.7665750076382524,0.8434028211209587,
